資料日期,證券代號,持股分級,人數,股數,佔集保庫存數比例%
20180413,00647L,5,4,70000,1.78
20180413,00647L,6,3,78000,1.99
20180413,00647L,7,3,111000,2.83
20180413,00647L,8,0,0,0.00
20180413,00647L,9,4,312000,7.96
20180413,00647L,10,2,314000,8.01
20180413,00647L,11,1,322000,8.22
20180413,00647L,12,1,473000,12.07
20180413,00647L,13,1,605000,15.44
20180413,00647L,14,1,803000,20.50
20180413,00647L,15,0,0,0.00
20180413,00647L,16,0,0,0.00
20180413,00647L,17,251,3916000,100.00
20180413,00648R,1,16,3353,0.00
20180413,00648R,2,1764,4671486,3.29
20180413,00648R,3,780,6470055,4.56
20180413,00648R,4,345,4537000,3.20
20180413,00648R,5,303,5664195,3.99
20180413,00648R,6,310,8113423,5.72
20180413,00648R,7,178,6527488,4.60
20180413,00648R,8,145,6790000,4.79
20180413,00648R,9,303,22365000,15.78
20180413,00648R,10,132,18874000,13.32
20180413,00648R,11,52,14556000,10.27
20180413,00648R,12,18,8799000,6.21
20180413,00648R,13,3,2153000,1.51
20180413,00648R,14,4,3552000,2.50
20180413,00648R,15,13,28612000,20.19
20180413,00648R,16,0,0,0.00
20180413,00648R,17,4366,141688000,100.00
20180413,00649,1,9,1000,0.00
20180413,00649,2,445,883000,5.97
20180413,00649,3,102,880000,5.95
20180413,00649,4,11,145000,0.98
20180413,00649,5,16,297000,2.01
20180413,00649,6,18,481000,3.25
20180413,00649,7,6,212000,1.43
20180413,00649,8,6,285000,1.92
20180413,00649,9,10,696000,4.71
20180413,00649,10,6,1008000,6.82
20180413,00649,11,3,912000,6.17
20180413,00649,12,1,500000,3.38
20180413,00649,13,1,664000,4.49
20180413,00649,14,0,0,0.00
20180413,00649,15,2,7808000,52.85
20180413,00649,16,0,0,0.00
20180413,00649,17,636,14772000,100.00
20180413,00650L,1,0,0,0.00
20180413,00650L,2,238,520000,13.54
20180413,00650L,3,58,479000,12.48
20180413,00650L,4,17,208000,5.41
20180413,00650L,5,10,190000,4.95
20180413,00650L,6,10,235000,6.12
20180413,00650L,7,5,186000,4.84
20180413,00650L,8,4,192000,5.00
20180413,00650L,9,5,356000,9.27
20180413,00650L,10,0,0,0.00
20180413,00650L,11,1,244000,6.35
20180413,00650L,12,1,467000,12.16
20180413,00650L,13,1,761000,19.82
20180413,00650L,14,0,0,0.00
20180413,00650L,15,0,0,0.00
20180413,00650L,16,0,0,0.00
20180413,00650L,17,350,3838000,100.00
20180413,00651R,1,2,14,0.00
20180413,00651R,2,332,862986,3.97
20180413,00651R,3,140,1230000,5.67
20180413,00651R,4,62,817000,3.76
20180413,00651R,5,51,956000,4.40
20180413,00651R,6,50,1298000,5.98
20180413,00651R,7,34,1248000,5.75
20180413,00651R,8,20,953000,4.39
20180413,00651R,9,38,2837000,13.07
20180413,00651R,10,15,2201000,10.14
20180413,00651R,11,3,890000,4.10
20180413,00651R,12,2,996000,4.59
20180413,00651R,13,0,0,0.00
20180413,00651R,14,1,879000,4.05
20180413,00651R,15,1,6524000,30.07
20180413,00651R,16,0,0,0.00
20180413,00651R,17,751,21692000,100.00
20180413,00652,1,1750,629562,5.23
20180413,00652,2,1484,2939478,24.42
20180413,00652,3,174,1368232,11.36
20180413,00652,4,46,586065,4.86
20180413,00652,5,36,667717,5.54
20180413,00652,6,24,618137,5.13
20180413,00652,7,16,595883,4.95
20180413,00652,8,7,330926,2.74
20180413,00652,9,11,713000,5.92
20180413,00652,10,10,1389000,11.54
20180413,00652,11,5,1296000,10.76
20180413,00652,12,0,0,0.00
20180413,00652,13,0,0,0.00
20180413,00652,14,1,901000,7.48
20180413,00652,15,0,0,0.00
20180413,00652,16,0,0,0.00
20180413,00652,17,3564,12035000,100.00
20180413,00653L,1,6,633,0.00
20180413,00653L,2,769,1834020,10.85
20180413,00653L,3,230,1872347,11.07
20180413,00653L,4,73,941000,5.56
20180413,00653L,5,63,1176000,6.95
20180413,00653L,6,42,1104000,6.53
20180413,00653L,7,26,960000,5.67
20180413,00653L,8,15,705000,4.17
20180413,00653L,9,32,2144000,12.68
20180413,00653L,10,7,1081000,6.39
20180413,00653L,11,3,874000,5.17
20180413,00653L,12,2,1090000,6.44
20180413,00653L,13,2,1508000,8.92
20180413,00653L,14,0,0,0.00
20180413,00653L,15,1,1613000,9.54
20180413,00653L,16,0,0,0.00
20180413,00653L,17,1271,16903000,100.00
20180413,00654R,1,4,700,0.00
20180413,00654R,2,210,521301,6.15
20180413,00654R,3,69,539999,6.37
